ma_fast,ma_slow,adx_threshold,total_return,cagr,sharpe,max_dd,win_rate,total_trades,profit_factor
10,50,20,-0.07048927529688209,-0.07109907310434194,-0.0163401667014484,0.49467526884026364,0.2602739726027397,219,0.5259830986715873
10,50,25,0.0011816278822511794,0.0011922427413435521,0.00031020961760485906,0.45252547423669265,0.28901734104046245,173,0.562460055032845
10,50,30,0.040802188742984136,0.04117594749932896,0.012226842771380895,0.4259483954304005,0.2878787878787879,132,0.5293497273921978
10,50,35,0.09730094060106587,0.0982160641532237,0.03657785007584837,0.3952637165310622,0.32558139534883723,86,0.5286593998558327
10,100,20,-0.03618434568771334,-0.03680256046320485,-0.00894277069524298,0.479096713183723,0.27692307692307694,195,0.5599826177225314
10,100,25,0.008649013481204948,0.008800248857598447,0.00238166827224373,0.44749781195265126,0.26875,160,0.5625264482671523
10,100,30,0.06341114780323354,0.06454999599293032,0.01958701689369981,0.4130286220286406,0.288,125,0.5748207655585791
10,100,35,0.11987016277373463,0.12207957449498719,0.046680483940653696,0.38785032195205904,0.345679012345679,81,0.6123432276150435
10,150,20,-0.00832140927445657,-0.00851288992239052,-0.002083306429785985,0.45579178703962375,0.291005291005291,189,0.6101534777170579
10,150,25,0.037779123202456244,0.03866883897073259,0.010443792445430458,0.4251152295587607,0.310126582278481,158,0.6189518329365995
10,150,30,0.08417266270296087,0.0861993813039208,0.025788288905844826,0.4045240866527429,0.30952380952380953,126,0.6367971907179064
10,150,35,0.12764753109241345,0.13078245277396494,0.049366770676959194,0.38404750027731893,0.35365853658536583,82,0.6542353266246804
20,50,20,-0.06647459351642993,-0.06705092698107473,-0.016372761787595676,0.5054923684313071,0.23076923076923078,195,0.49351664424553116
20,50,25,-0.019879464249343393,-0.0200561383012553,-0.005370449912561079,0.47060300946140643,0.24242424242424243,165,0.5084138908751145
20,50,30,0.03167446803462237,0.03196333551912112,0.009578942864794082,0.430982764857531,0.2692307692307692,130,0.5100126801626923
20,50,35,0.09413115511962578,0.09501519493877963,0.03547308939196799,0.395995867447218,0.32558139534883723,86,0.51765902821057
20,100,20,0.0627466467731892,0.06387320600456903,0.016600610681437405,0.431111649862152,0.30952380952380953,168,0.7115806483136425
20,100,25,0.0457660312096031,0.046581071416698094,0.01293562414310789,0.4291862243595237,0.28,150,0.6213779514408991
20,100,30,0.08962991593960457,0.09125947193316097,0.028523611173229158,0.40056170670331326,0.3135593220338983,118,0.6452176020464374
20,100,35,0.12754973277340276,0.12990872295054734,0.04942971163334496,0.38393254063711885,0.35365853658536583,82,0.6536947013542346
20,150,20,0.04722106262522541,0.048338269773496645,0.01261513181976941,0.4272017306246322,0.2787878787878788,165,0.6813947096135916
20,150,25,0.04711472793531524,0.04822936183449977,0.01338852553721186,0.41899242428478395,0.28378378378378377,148,0.6193591490468664
20,150,30,0.0937642892215389,0.09603200983814508,0.02943405351262404,0.399919417499995,0.31666666666666665,120,0.6523400255803289
20,150,35,0.1349617573980828,0.13828707038620203,0.05354136289606524,0.3826810199256227,0.358974358974359,78,0.6743201488602858
30,50,20,0.035409610281427195,0.03573312791872496,0.008791570166956569,0.4546957997632921,0.27979274611398963,193,0.6784199967496581
30,50,25,0.06934985218111733,0.0699937687637473,0.01905156327499968,0.42522089999848556,0.2830188679245283,159,0.6962086260480441
30,50,30,0.08053234858783753,0.08128398272606141,0.024510412133495252,0.4037388791195894,0.328125,128,0.6299021722165202
30,50,35,0.12255464070940447,0.12372035433892381,0.046977700328138874,0.38309956180643623,0.3373493975903614,83,0.62331188383962
30,100,20,0.04905782528173419,0.049932875819410194,0.013228038113303335,0.4327212009058607,0.2919254658385093,161,0.6691007528410523
30,100,25,0.05315642108251417,0.05410644603619108,0.015441823288410152,0.427259758925637,0.3191489361702128,141,0.6219634688235771
30,100,30,0.09962337176680092,0.10144292457189485,0.03208563052656231,0.3993274089551219,0.34210526315789475,114,0.6626346756566505
30,100,35,0.13784709497123981,0.14040810745194743,0.05480426070777003,0.3822463294098797,0.36363636363636365,77,0.6814183505301836
30,150,20,0.04190889993458957,0.0428978683016914,0.01149543785980024,0.4339151288492966,0.27564102564102566,156,0.6538610323958869
30,150,25,0.05213618728636038,0.05337261661710668,0.015185900502490371,0.42155159500449674,0.2907801418439716,141,0.6237321262883556
30,150,30,0.09442239823490484,0.09670672794375013,0.030654514958513547,0.40245087129533796,0.3274336283185841,113,0.6406542494895747
30,150,35,0.13663099038689652,0.13999991086878194,0.05492132421911942,0.3798849633044141,0.35526315789473684,76,0.6750876458637993
